_source,cust_guid,history,md5,model,notes,observed,platform,related_intent,requesttype,routed,subtags,tag,tagsource,text,timestamp,weight
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 10}",056520040111090539COMCAST.USRMIG,,019f9bb3d7ae8c7a9904364291f543ef,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644141 by fwph""]",RS,,,,RS,,RS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 297}",Activate cable box?,2017-01-28T21:57:26.755000+00:00,0.6666666666666666
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 11}",561816040127012017Comcast.cust,,fd2282a1a30185681689ff0e2ad056bd,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644171 by fwph""]",RS,,,,RS,,RS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 298}",Activate modem,2017-01-28T23:09:00.578000+00:00,0.6666666666666666
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 12}",653905240516012017Comcast.cust,,e654f0b6431422052cbdb8aafb33ff97,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644200 by fwph""]",BST,,,,BS,,BST,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 237}",Add Chanel,2017-01-22T23:48:19.773000+00:00,0.8571428571428571
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 13}",945522120816032016Comcast.cust,,0266642980d74af2086e4157b6e956da,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644234 by fwph""]",BST,,,,BST,,BST,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 54}",Add HBO to  my account,2017-01-25T03:28:39.459000+00:00,0.8571428571428571
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 14}",921718530409122016Comcast.cust,,c2f0414e422c19fcbadd1fb4cfabfbd8,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644265 by fwph""]",BS,,,,BS,,B,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 254}",Add a subscribe,2017-01-29T07:24:24.843000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 15}",601807471202012017Comcast.cust,,58c76050c498d85015936b753e6e0657,known_good,"[""autotagged on 2017-02-08T15:36:16.644297 by fwph""]",BST,,,,BST,,BST,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 301}",Add channels,2017-01-28T01:49:09.403000+00:00,0.8571428571428571
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 16}",114455411230062014Comcast.USRIMS,,1958d4ed456b5ef5a28b2a39c6a202c9,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644330 by fwph""]",B,,,,BST,,RIE,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 303}",Add email address,2017-01-22T16:48:41.449000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 17}",941031471224012017Comcast.cust,B,0ad7eb36b91c292e0e56f426c83d49c7,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644360 by fwph"", ""2017-06-08T10:52:22.413010: autotagged by fwph""]",BAU,,,,BS,,BAU,"('comcast-tags.csv', '', 113)",Add user,2017-01-27T23:46:38.586000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 18}",134737020025092011Comcast.USR0JR,,67d9f5ca1583fe8b3efe059598299802,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644391 by fwph""]",BS,,,,B,,B,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 158}",Agreement,2017-01-26T02:22:03.665000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 19}",375224320513012016Comcast.cust,,fe9176519d22d281720d829b6bc956b8,known_good,"[""autotagged on 2017-02-08T15:36:16.644421 by fwph""]",ST,,,,ST,,ST,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 306}",Appointment,2017-01-28T02:37:17.621000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 20}",247616232108122005Comcast.USR3JR,,89c539e316e55dc877bc2afbb881b958,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644478 by fwph""]",ST,,,,B,,ST,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 20}",Appointments...where do I look?,2017-01-24T20:14:38.287000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 21}",452130440321122016Comcast.cust,B,b088b35487b33fea7e6d53674d6f6d2c,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644574 by fwph"", ""2017-05-18T12:48:18.933918: data usage retagging for BD intent""]",BD,,,,BBI,,BD,"('usage-retagging.csv', '', 1)",Are the overages for internet usage,2017-01-23T23:00:08.257000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 22}",832316570317082016Comcast.cust,,0af63339b37bdbb94673efc5a03e95ad,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644608 by fwph""]",B,,,,B,,RT,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 110}",Auto tune,2017-01-28T03:10:10.575000+00:00,0.35294117647058826
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 23}",660231551105052015Comcast.USRIMS,,5a25ed37bb89a9cff3bf76ae769e7a7f,known_good,"[""autotagged on 2017-02-08T15:36:16.644639 by fwph""]",BB,,,,BB,,BB,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 312}",Bill,2017-01-25T02:38:57.170000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 24}",331058540530052016Comcast.cust,,38fa2f6f4adf4e9e7b2e9a7e1600ee6e,known_good,"[""autotagged on 2017-02-08T15:36:16.644668 by fwph""]",BB,,,,BB,,BB,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 313}",Billing,2017-01-22T19:14:24.739000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 25}",918410520319012017Comcast.cust,,738ffd8347473404afad45d39066ed91,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644697 by fwph""]",RVF,,,,RVF,,O,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 243}",Block,2017-01-26T02:43:39.814000+00:00,0.3076923076923077
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 26}",194817321511112011Comcast.USR4JR,,825b854ec23f2ee0c6c73e2f6c18b06c,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644736 by fwph""]",RVF,,,,RVF,,RVF,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 317}",Call blocking,2017-01-27T21:07:50.965000+00:00,0.3333333333333333
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 27}",009120040111082615COMCAST.USRMIG,,f17e1b268ee21347ece35b3fbe608f6e,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644770 by fwph""]",RTG,,,,RT,,ATT,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 240}",Can I access my movies on my iPad from my tv?,2017-01-25T00:14:29.328000+00:00,0.36363636363636365
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 28}",150615470416102016Comcast.cust,B,29ece280bcbda6c6bc013338dbf9052f,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644803 by fwph"", ""2017-07-21T17:01:05.594776: autotagged by fwph""]",B,,,,B,,BAU,"('tagquestions20170713.csv', '', 17)",Can I change my billing address online ?,2017-01-26T21:37:30.072000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 29}",004943472307112006Comcast.USR8JR,,7586d68ccebb7389188b9b8c52d91c92,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644860 by fwph""]",RT,,,,RT,,RTG,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 18}",Can I change the type size of the TV guide?,2017-01-28T01:32:50.630000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 30}",180155210402122015Comcast.cust,,034ebe049ba49a312295efa282ad23e1,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644894 by fwph""]",OS,,,,ST,,OS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 165}",Can i schedule a call,2017-01-27T22:02:21.622000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 31}",400603381104112013Comcast.USRIMS,,a9647b11bff3ffd531afab1c9b94e685,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644924 by fwph""]",R,,,,RI,,R,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 277}",Can't connect,2017-01-23T02:24:31.596000+00:00,0.5384615384615384
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 32}",335220110412012016Comcast.cust,,3931057796a53aa17fbf2e1170873be0,known_good,"[""autotagged on 2017-02-08T15:36:16.644953 by fwph""]",BC,,,,BC,,BC,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 321}",Cancel,2017-01-26T19:29:23.508000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 33}",618524581201102011Comcast.cust,,e12447d5ee007e8ef95a8e7f6d6cc727,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644983 by fwph""]",STX,,,,STX,,STX,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 323}",Cancel   Appointment,2017-01-27T13:09:08.101000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 34}",764718550507102012Comcast.USRIMS,,b739a88641ce5f81795098ff417d7ccd,known_good,"[""autotagged on 2017-02-08T15:36:16.645014 by fwph""]",BC,,,,BC,,BC,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 325}",Cancel service,2017-01-28T16:31:06.504000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 35}",125135430931052014Comcast.USRIMS,,a859c2840e36c60b43ad3ee0d44f4e86,known_good,"[""autotagged on 2017-02-08T15:36:16.645048 by fwph""]",RIW,,,,RIW,,RIW,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 328}",Change WIFI password,2017-01-23T02:38:15.143000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 36}",497053220723032016Comcast.cust,,5b07c373d1bc03081567c44043539249,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645082 by fwph""]",B,,,,B,,BM,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 8}",Change address and switch boxes to new address,2017-01-26T04:19:59.451000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 37}",303428381410092004Comcast.USR8JR,,56e13b44d4ff96f7ecde72eb216e7530,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645119 by fwph""]",RIW,,,,RIW,,RIW,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 166}",Change my Wifi Password,2017-01-26T03:44:35.568000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 38}",940234471028032015Comcast.USRIMS,,77ea14f62cd3d6d08763b88247e0f28e,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645150 by fwph""]",BS,,,,B,,BS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 326}",Change package,2017-01-25T13:44:26.347000+00:00,0.8125
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 39}",294647041227062016Comcast.cust,,f0995331236f76e860f6efafd07d285d,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645179 by fwph""]",BS,,,,B,,BS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 327}",Change plan,2017-01-25T00:29:04.500000+00:00,0.8125
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 40}",058414522002032011Comcast.USR0JR,,76fb448c0a38b2b4f45b0946c3fd6fe1,known_good,"[""autotagged on 2017-02-08T15:36:16.645210 by fwph""]",RIW,,,,RIW,,RIW,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 328}",Change wifi password,2017-01-27T21:09:35.076000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 41}",160244051122072012Comcast.cust,,d00804fd0a10480d1f55f15bafa286bd,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645240 by fwph""]",BS,,,,B,,B,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 114}",Confirm offer,2017-01-24T01:17:00.608000+00:00,0.9285714285714286
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 42}",984239520903082015Comcast.cust,,7e91ce47a6f07f395c0c49c47e4d2f37,known_good,"[""autotagged on 2017-02-08T15:36:16.645269 by fwph""]",OS,,,,OS,,OS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 333}",Contact,2017-01-26T11:34:11.805000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 43}",757841050808112016Comcast.cust,,833911b1afa6a44b2ae1163a79cfd735,known_good,"[""autotagged on 2017-02-08T15:36:16.645301 by fwph""]",BBCC,,,,BBCC,,BBCC,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 336}",Credit,2017-01-24T05:10:02.109000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 44}",291958380911102016Comcast.cust,,e1d5579436a4f53268107cde849d22d4,known_good,"[""autotagged on 2017-02-08T15:36:16.645342 by fwph""]",OS,,,,OS,,OS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 337}",Customer service phone number,2017-01-27T19:13:31.582000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 45}",164358240518032013Comcast.USRIMS,R,4fd85fe34896453c2eacb1ac37273c9f,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645370 by fwph"", ""2017-03-17T15:55:47.070557: retagging for 20170219 sample"", ""2017-07-21T17:01:05.597616: autotagged by fwph""]",OS,,,,OS,,OS,"('tagquestions20170713.csv', '', 95)",Customer support,2017-01-27T02:13:32.784000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 46}",005148491728122009Comcast.USR2JR,,3272f5d0f29d6ad7347595765c2de186,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645399 by fwph""]",RIW,,,,RIW,,RIW,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 55}",Devices using wifi,2017-01-28T06:43:27.453000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 47}",738306231011102012Comcast.cust,O,dcae7c5771602833653b78a4341d0eb7,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645434 by fwph"", ""2017-05-08T11:47:25.276686: service center retag""]",BX,,,,BR,,BX,"('/Users/fwph/data/tagging/comcast-srs/service-center-20170508/service_centers.csv', '', 7)",Down south... west palm jupiter area for a service center?,2017-01-24T09:28:42.050000+00:00,0.3076923076923077
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 48}",106659062329042007Comcast.USR9JR,BC,757d26f68709823c882b3694c3032f79,known_good,"[""autotagged on 2017-02-08T15:36:16.645462 by fwph"", ""2017-07-21T17:01:05.598210: autotagged by fwph""]",BS,,,,BC,,BS,"('tagquestions20170713.csv', '', 80)",Downgrade service,2017-01-25T20:43:07.501000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 49}",938449541223022013Comcast.PRVSRV,,ae9a79cc6a58a1110c38de11bc80f035,known_good,"[""autotagged on 2017-02-08T15:36:16.645491 by fwph""]",RIE,,,,RIE,,RIE,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 340}",Email,2017-01-22T17:18:34.983000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 50}",483434370731032014Comcast.USRIMS,,04c1fd70ac184174b1b5d2615ef33e60,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645568 by fwph""]",RICS,,,,RICS,,RICS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 170}",Find my connection speed,2017-01-24T16:36:05.871000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 51}",862825540211072016Comcast.cust,,3f157d7a7bcacd8d9efb6e2e85203ccb,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645601 by fwph""]",R,,,,R,,RT,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 172}",Getting a green light on my box,2017-01-23T00:04:59.875000+00:00,0.35294117647058826
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 52}",597305030808122016Comcast.cust,,52c73cdb9ffbe15c4e01a78554f1120f,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645635 by fwph""]",RTD,,,,R,,RTN,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 174}",Hi I just ordered the movie central intelligence and I hear the movie but I cannot see the images,2017-01-29T05:10:37.400000+00:00,0.058823529411764705
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 53}",115612331223122014Comcast.cust,,b65334d6bc13b9464ddb577ac35ab3e5,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645666 by fwph""]",RIWH,,,,RIWH,,RIWH,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 81}",Hotspot is not working,2017-01-26T01:03:42.844000+00:00,0.8571428571428571
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 54}",300443020909082016Comcast.cust,,76f93b3757bfc3cd1061629950371cfc,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645698 by fwph""]",R,,,,R,,ATT,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 177}",How can I access tv in other devices,2017-01-25T22:14:48.131000+00:00,0.36363636363636365
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 55}",388541161804122008Comcast.USR3JR,,cc05d406970652c520b2cbb856f8c467,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645729 by fwph""]",LL,,,,LLF,,LLF,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 98}",How can I change my username?,2017-01-23T19:20:16.624000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 56}",217550190115012015Comcast.USRIMS,,fdf73f04d355236aeadc111feb4e6fee,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645761 by fwph""]",BS,,,,BS,,BS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 139}",How can I get Comcast fiber at my home?,2017-01-28T00:49:05.504000+00:00,0.8125
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 57}",599312260828112016Comcast.cust,,75829e5934606194b3b60eb0790fb419,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.645793 by fwph""]",LN,,,,RV,,LN,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 96}",How can I set up my voice security PIN,2017-01-26T09:31:46.909000+00:00,0.375
